sent_id,word_id,token,cpostag,postag,head,deprel,deps,parent_token,parent_deprel,stem_pos,parent_stem,parent_stem_pos
19,32,the,DET,DT,33,det,32:det|33:nsubj,knock,nsubj,the_det,knock,knock_nsubj
19,33,knock,NOUN,NN,36,nsubj,33:nsubj|36:ccomp,granddaughter,ccomp,knock_nsubj,granddaughter,granddaughter_ccomp
19,34,was,VERB,VBD,36,cop,34:cop|36:ccomp,granddaughter,ccomp,was_cop,granddaughter,granddaughter_ccomp
19,35,her,PRON,PRP$,36,poss,35:poss|36:ccomp,granddaughter,ccomp,her_poss,granddaughter,granddaughter_ccomp
19,36,granddaughter,NOUN,NN,30,ccomp,36:ccomp|30:dep,thinking,dep,granddaughter_ccomp,thinking,thinking_dep
20,1,the,DET,DT,2,det,1:det|2:nsubj,wolf,nsubj,the_det,wolf,wolf_nsubj
20,2,wolf,NOUN,NN,3,nsubj,2:nsubj|3:ROOT,let,ROOT,wolf_nsubj,let,let_ROOT
20,3,NA,VERB,VBD,0,ROOT,3:ROOT|0:NA,NA,NA,let_ROOT,NA,NA_NA
20,4,himself,PRON,PRP,3,dobj,4:dobj|3:ROOT,let,ROOT,himself_dobj,let,let_ROOT
20,5,in,PRT,RP,3,prt,5:prt|3:ROOT,let,ROOT,in_prt,let,let_ROOT
21,1,poor,NOUN,NNP,2,amod,1:amod|2:nsubj,Granny,nsubj,poor_amod,Granny,Granny_nsubj
21,2,granny,NOUN,NNP,5,nsubj,2:nsubj|5:ROOT,have,ROOT,granny_nsubj,have,have_ROOT
21,3,did,VERB,VBD,5,aux,3:aux|5:ROOT,have,ROOT,did_aux,have,have_ROOT
21,4,not,ADV,RB,5,neg,4:neg|5:ROOT,have,ROOT,not_neg,have,have_ROOT
21,5,NA,VERB,VB,0,ROOT,5:ROOT|0:NA,NA,NA,have_ROOT,NA,NA_NA
21,6,time,NOUN,NN,5,dobj,6:dobj|5:ROOT,have,ROOT,time_dobj,have,have_ROOT
21,7,to,PRT,TO,8,aux,7:aux|8:infmod,say,infmod,to_aux,say,say_infmod
21,8,say,VERB,VB,6,infmod,8:infmod|6:dobj,time,dobj,say_infmod,time,time_dobj
21,9,another,DET,DT,10,det,9:det|10:dobj,word,dobj,another_det,word,word_dobj
21,10,word,NOUN,NN,8,dobj,10:dobj|8:infmod,say,infmod,word_dobj,say,say_infmod
21,12,before,ADP,IN,15,mark,12:mark|15:advcl,gobbled,advcl,before_mark,gobbled,gobbled_advcl
